Percolation threshold data
Total number of sites: 65536

Run	Num	Key Site
---	---	--------
0	27909	44144
1	27792	39865
2	28119	22013
3	27220	62526
4	28385	48101
5	28503	35673
6	27703	39634
7	28168	35414
8	27967	15179
9	28870	25159
10	27847	38450
11	27993	46485
12	28259	23997
13	28303	61072
14	28290	26414
15	28745	12619
16	28636	13944
17	28233	19074
18	28097	26110
19	28506	7243
20	27727	30242
21	28506	16181
22	28310	62867
23	28444	16286
24	28826	16458
25	27817	61082
26	28706	45976
27	27988	29784
28	28532	16634
29	28488	44801
30	28339	27754
31	26679	24795
32	28192	31160
33	27764	14558
34	28859	44438
35	28136	53587
36	28019	26962
37	28677	40060
38	27919	8635
39	28735	5406
40	28211	43069
41	28411	37724
42	28287	43309
43	28235	4413
44	29003	285
45	28350	26677
46	28847	9731
47	28980	56011
48	28439	22563
49	28066	45698
50	28857	8740
51	28245	31514
52	27987	11069
53	28161	58536
54	28297	60908
55	28659	55903
56	28976	15345
57	27982	60066
58	27350	44863
59	27884	42716
60	27930	36433
61	27841	61688
62	27735	21563
63	28136	1095
64	28358	48940
65	28662	58733
66	27851	47460
67	28286	43736
68	28489	3803
69	28065	2574
70	28400	45834
71	27907	56026
72	27542	61239
73	27855	38186
74	28770	9003
75	28105	24584
76	27792	7747
77	27737	51075
78	28023	43669
79	26920	28437
80	28659	30099
81	28751	49558
82	27790	6283
83	28312	64988
84	27244	59482
85	27944	52079
86	28451	50197
87	28749	25098
88	28385	59782
89	28208	42521
90	27828	50018
91	27916	23672
92	28301	24243
93	28370	40010
94	28061	61574
95	28364	30173
96	27732	48781
97	27816	42149
98	27924	15911
99	28563	64233
100	27928	49552
101	28261	36537
102	28357	13367
103	28531	6650
104	28673	5896
105	28114	25891
106	27304	29481
107	28170	38192
108	28872	13688
109	27784	12030
110	27775	63534
111	28502	50899
112	27562	41986
113	27918	52455
114	27935	15006
115	28462	36857
116	28828	21362
117	28238	12412
118	27996	55186
119	28498	21827
120	28447	20220
121	29017	62759
122	28727	25048
123	28607	62394
124	28698	33100
125	27711	14314
126	28184	57682
127	28523	55115
128	29165	24393
129	28241	46163
130	27567	21069
131	27773	6739
132	27596	58457
133	28612	39399
134	27541	4240
135	28299	14126
136	28114	38259
137	27837	27969
138	28745	20876
139	28469	30702
140	28501	61243
141	28160	21507
142	27936	46759
143	27463	3273
144	27931	42112
145	28167	13668
146	28079	2909
147	27917	29853
148	28233	49626
149	27673	61882
150	28814	41392
151	27968	5526
152	27817	48290
153	28074	9673
154	28239	17088
155	27989	54375
156	27831	5617
157	28350	51204
158	27548	21424
159	28540	24311
160	28438	24788
161	28474	26644
162	27742	52501
163	27864	40090
164	27997	29373
165	28282	54831
166	28140	58568
167	28200	27568
168	28509	10868
169	27758	65250
170	27843	38664
171	28766	13520
172	28316	49681
173	26626	59061
174	28170	9009
175	28414	64101
176	28782	18759
177	27862	12646
178	28371	9588
179	28154	37410
180	28250	32022
181	27946	50486
182	28400	7543
183	27970	9666
184	27954	62923
185	27832	40167
186	28704	54883
187	28503	33986
188	28260	39645
189	27444	54687
190	27687	62105
191	27652	59918
192	28955	61166
193	28659	30643
194	28178	38782
195	29211	3173
196	27596	11697
197	28277	63638
198	28374	17336
199	28324	44350
200	28783	43076
201	27891	56173
202	28353	31175
203	28611	47000
204	28328	43252
205	28544	10318
206	28017	45706
207	28820	26643
208	27981	34296
209	28799	13297
210	28321	41457
211	28341	49750
212	28378	55472
213	28707	49568
214	27863	3153
215	27702	27015
216	27903	3917
217	27783	22735
218	28183	371
219	28975	53904
220	28561	15503
221	28500	26062
222	28289	30494
223	27771	39899
224	27690	15239
225	28384	7421
226	27728	62252
227	28328	23806
228	27924	22463
229	28604	17625
230	28289	12345
231	28307	50603
232	27787	877
233	28066	26556
234	27867	34296
235	28520	34273
236	27922	24266
237	28248	62788
238	27791	51359
239	28417	30641
240	28183	61301
241	28027	19721
242	28590	40186
243	28226	54016
244	28332	5512
245	27658	53205
246	27939	42197
247	28240	7800
248	28135	29998
249	27853	54857
250	28197	24144
251	28534	28609
252	28516	19855
253	28515	63776
254	28635	63646
255	27987	7650
256	28433	7194
257	28675	63621
258	28327	36669
259	27710	12497
260	28757	12038
261	28029	3836
