Percolation threshold data
Total number of sites: 4194304

Run	Num	Key Site
---	---	--------
0	1801778	1672183
1	1804840	2265972
2	1802927	663278
3	1805614	3953576
4	1809424	2610232
5	1794381	1545238
6	1800768	3771370
7	1800907	2192733
8	1800968	1515353
9	1804610	3638113
10	1798364	1665632
11	1807809	481487
12	1805357	1320802
13	1801341	279996
14	1809119	2368018
15	1810805	1488005
16	1814955	102125
17	1800438	819717
18	1809760	2349883
19	1795333	3266007
20	1804816	3735515
21	1803980	2272640
22	1796299	3362172
23	1805876	539714
24	1813049	1043895
25	1804929	2314567
26	1814427	953084
27	1805018	2489726
28	1797350	2827571
29	1803888	3166591
30	1811501	1439077
31	1802285	1238036
32	1799063	1158161
33	1811044	3539385
34	1797679	3410578
35	1803655	2646233
36	1790480	1819313
37	1807278	965802
38	1799208	571810
39	1800523	3769700
40	1797020	663267
41	1791505	1619011
42	1804658	3376700
43	1804953	1417701
44	1792844	3091958
45	1802408	1419230
46	1802575	872868
47	1788491	2442833
48	1803252	787288
49	1802046	484977
50	1805101	162535
51	1808330	2377162
52	1807924	2506275
53	1799769	2885610
54	1811354	64447
55	1797465	1122628
56	1808302	1626372
57	1789330	3332053
58	1813051	3054469
59	1804823	1075573
60	1803629	361355
61	1803483	1913693
62	1807108	179474
63	1804406	215819
64	1812249	3394366
65	1800630	1679962
66	1784714	3694373
67	1800262	570928
68	1799924	1196665
69	1791793	1522236
70	1807313	729624
71	1808014	4167311
72	1796124	2755218
73	1803805	1341125
74	1795609	3353762
75	1808842	2400223
76	1803079	3260127
77	1804428	4034659
78	1808206	1301783
79	1808774	2213886
80	1815587	414421
81	1809616	2819706
82	1794894	3563463
83	1804803	507995
84	1806886	4087305
85	1802155	2727465
86	1797983	1745317
87	1805574	2364543
88	1809899	3406642
89	1799958	4037569
90	1802834	1068779
91	1796721	171275
92	1809567	596703
93	1811964	1095117
94	1806360	1128118
95	1805898	575138
96	1803480	1290422
97	1811092	1756152
98	1797312	2761580
99	1795976	1725631
100	1805637	348871
101	1805425	3876780
102	1810155	1975130
103	1802089	3790748
104	1803781	613447
105	1802589	1875381
106	1799561	1160128
107	1810768	3051341
108	1806673	2589453
109	1801280	630482
110	1810597	894714
111	1793324	2679624
112	1806883	1193290
113	1798622	1259787
114	1804234	218683
115	1808168	1738525
116	1804139	3243229
117	1803356	2760051
118	1803831	2285867
119	1805010	3682461
120	1799035	2710610
121	1815171	1861593
122	1802032	1922771
123	1800250	2706508
124	1802215	368865
125	1797297	3460938
126	1807462	587579
127	1811484	2798981
128	1805794	2102764
129	1802296	533325
130	1810765	4066487
131	1797541	2587528
132	1807260	2873686
133	1794774	3550136
134	1807751	1300305
135	1810245	483242
136	1806367	3540438
137	1799593	3062992
138	1812139	1662489
139	1798252	1766716
140	1806809	3540750
141	1804865	364222
142	1798831	3566091
143	1811765	1141883
144	1799524	1010477
145	1808631	2904868
146	1806372	2542832
147	1805807	3801021
148	1803265	548525
149	1802982	614937
150	1801263	378049
151	1803204	3359326
152	1804069	3157012
153	1800207	1001143
154	1808037	1264239
155	1809321	2358710
156	1808707	1609654
157	1807055	3198412
158	1801861	968091
159	1800394	3029552
160	1804489	2066353
161	1805252	322264
162	1801643	1503317
163	1807388	969364
164	1793012	1125223
165	1806113	1209344
166	1806985	2999294
167	1807140	257217
168	1801923	3740543
169	1809596	1746202
170	1807035	549890
171	1808953	2340532
172	1806382	2690068
173	1805417	2072694
174	1801280	2859670
175	1807446	3012376
176	1806158	2937831
177	1800670	4006755
178	1806094	3789705
179	1791430	392085
180	1805631	2527951
181	1796314	2820899
182	1806676	2642624
183	1805341	3784027
184	1805003	4154962
185	1800204	3382359
186	1803831	2186435
187	1809171	3202529
188	1807636	3443246
189	1799996	3274149
190	1799752	2474952
191	1806180	3177529
192	1809134	2172123
193	1801771	1665914
194	1808313	2709708
195	1810086	3218605
196	1803576	279732
197	1804200	2336638
198	1801171	3791150
199	1803657	470638
200	1806310	281627
