Percolation threshold data
Total number of sites: 33554432

Run	Num	Key Site
---	---	--------
0	14425456	20498898
1	14413816	14832875
2	14444938	4050367
3	14413853	10735346
4	14430757	12462953
5	14442769	14109206
6	14435701	26382225
7	14432506	29904115
8	14420917	6635709
9	14423807	28963795
10	14427952	25751475
11	14415737	18974371
12	14402929	33226130
13	14439197	30012704
14	14439397	28103844
15	14409410	2033531
16	14446469	1899100
17	14458921	12418106
18	14424166	26816041
19	14435270	29765710
20	14421539	16372761
21	14432541	10658079
22	14399447	33549187
23	14408874	25079066
24	14392941	24663405
25	14446851	23251353
26	14484604	7659579
27	14442343	2220922
28	14412620	23176907
29	14443046	29415189
30	14463403	14622950
31	14439013	5078441
32	14440912	12529431
33	14394451	28266378
34	14481832	21467688
35	14423548	9549710
36	14438303	7832774
37	14469286	31480897
38	14390367	8371267
39	14467696	6777905
40	14416948	18865461
41	14445376	2519030
42	14461962	14939987
43	14422748	7672723
44	14430461	22462964
45	14404696	22871546
46	14425731	400007
47	14428248	26562216
48	14467311	22838899
49	14441924	31864604
50	14412682	30717892
51	14412707	616311
52	14422339	2947615
53	14416053	8347754
54	14427548	21080211
55	14446996	24042112
56	14448152	7017691
57	14383397	1026918
58	14431231	20455478
59	14436203	19784744
60	14368536	8601546
61	14424298	644494
62	14405724	18717653
63	14395872	4959527
64	14394456	5969462
65	14421607	28501510
66	14389300	32335699
67	14457462	31382026
68	14426683	3669911
69	14422537	375184
70	14468175	31336308
71	14378386	9467347
72	14441468	32104601
73	14451514	27499152
74	14471198	25063414
75	14435981	7527447
76	14442080	21938755
77	14415197	24888262
78	14438562	7945709
79	14393651	9912383
80	14446605	15709143
81	14476246	5780534
82	14440693	14350279
83	14444457	616361
84	14452894	33280295
85	14414181	22268168
86	14438534	15974891
87	14465300	8051280
88	14415731	15276475
89	14430274	4752799
90	14420031	25155699
91	14429650	15486369
92	14404412	17502301
93	14437989	20289112
94	14465071	30338978
95	14425636	30858908
96	14416482	15857445
97	14447167	17541674
98	14467409	22303922
99	14429900	2767675
100	14432256	4594849
101	14409646	18474709
102	14444378	10438232
103	14423386	19166918
104	14439006	29035309
105	14409769	28843894
106	14398232	9314319
107	14454240	23932852
108	14433123	1575890
109	14438835	2519864
110	14433168	17522121
111	14442331	8797857
112	14451732	29974039
113	14430479	26782563
114	14424362	27281130
115	14423254	14593929
116	14438651	25511637
117	14425089	24777738
118	14411374	8668908
119	14400253	23318994
120	14434049	1171728
121	14425983	19578916
122	14414298	19738085
123	14449839	33186899
124	14423549	19118723
125	14438012	15475011
126	14411734	3399236
127	14404487	5650840
128	14446762	28096704
129	14406131	4473821
130	14449600	4460392
131	14447886	1297117
132	14453220	24236156
133	14443794	4762067
134	14419852	27245151
135	14415244	25474425
136	14415264	14134159
137	14392894	22222678
138	14392258	19386962
139	14433170	30519803
140	14439185	6852406
141	14453730	18872339
142	14443865	1949276
