Percolation threshold data
Total number of sites: 33554432

Run	Num	Key Site
---	---	--------
0	14425235	31526090
1	14463745	18851681
2	14432379	28139095
3	14418358	28200704
4	14451241	32659868
5	14455610	24644236
6	14433924	7552523
7	14353676	4877383
8	14420389	514094
9	14437583	27542334
10	14418205	22309688
11	14408483	19230805
12	14430438	30989199
13	14375477	112802
14	14426714	19263875
15	14442204	28681689
16	14420574	28451464
17	14410231	6378969
18	14409990	28181349
19	14386684	16023353
20	14433036	143800
21	14407002	15760632
22	14430259	7604607
23	14456821	29403908
24	14440861	32999599
25	14437457	1631389
26	14425386	6474994
27	14448904	21729378
28	14408521	13003264
29	14456368	12717099
30	14448252	22193812
31	14450915	33270661
32	14443252	31336567
33	14425605	567711
34	14414256	32710653
35	14446385	20227021
36	14436840	11278001
37	14410579	21111062
38	14381689	12107946
39	14432563	5782074
40	14449773	5653992
41	14391873	12816719
42	14442718	3094508
43	14454881	223178
44	14421888	5526145
45	14449787	18560214
46	14444831	33385200
47	14450139	12247601
48	14440941	32823679
49	14426509	4238576
50	14441845	15691330
51	14420081	27286062
52	14419459	14103745
53	14415178	31352819
54	14416460	8692308
55	14432213	32446051
56	14418446	17986213
57	14434325	15149287
58	14381677	7321670
59	14409845	10710107
60	14420833	1304138
61	14429783	12516152
62	14403656	24511427
63	14453940	18782484
64	14400540	2304776
65	14423860	27597334
66	14377576	19585833
67	14435025	10330004
68	14441080	16254018
69	14422843	26142324
70	14448993	1543942
71	14393744	23003385
72	14376905	260488
73	14427240	5428283
74	14426455	16635917
75	14413467	32461366
76	14470924	8495925
77	14442147	31727732
78	14413284	22925989
79	14423090	32922773
80	14454912	1071982
81	14445037	18868394
82	14450479	7238307
83	14437072	15623750
84	14435215	27416369
85	14423706	25344031
86	14409091	152379
87	14437863	18176998
88	14405511	25474004
89	14415216	9421237
90	14454269	7421019
91	14441723	29273183
92	14442587	22933897
93	14416355	26586350
94	14388375	31703655
95	14440062	4377125
96	14425061	14425038
97	14449637	19321042
98	14436353	26796003
99	14420785	89421
100	14456341	32405281
101	14415808	26642677
102	14441684	12108681
103	14447489	30537888
104	14414385	14731086
105	14423541	17489058
106	14381394	8258544
107	14411858	6616040
108	14410796	15065308
109	14435943	25858588
110	14446719	16788163
111	14437701	16188142
112	14440686	2170782
113	14449139	11977335
114	14463329	8667503
115	14451508	4736522
116	14430677	8736879
117	14427851	32757860
118	14442223	25194135
119	14418598	32695269
120	14402123	376895
121	14421524	434475
122	14417197	16673201
123	14419777	2317324
124	14432328	30505085
125	14437675	9099703
126	14441002	20575763
127	14437486	20977900
128	14433357	12809575
129	14410984	18437134
130	14394904	25073093
131	14412007	19024549
132	14449737	4058861
133	14429776	3073296
134	14430023	32951813
135	14423648	18721374
136	14421000	7792075
137	14437166	29481365
138	14413325	32352899
139	14445070	25484074
140	14415042	33073073
141	14455167	13112555
142	14411114	13037279
