Percolation threshold data
Total number of sites: 33554432

Run	Num	Key Site
---	---	--------
0	14406075	18408532
1	14449937	11166486
2	14413895	1468371
3	14440070	25730561
4	14444887	3057794
5	14392853	20592203
6	14419555	7550007
7	14429609	16375828
8	14394620	18702823
9	14465257	16242363
10	14449471	20946843
11	14432351	20208997
12	14458303	31642349
13	14440998	28106423
14	14430713	30171402
15	14431407	12568671
16	14447458	28088947
17	14442235	23897105
18	14460279	31598417
19	14433988	938840
20	14401675	19046889
21	14449342	29831967
22	14446569	27154341
23	14402204	25866679
24	14436433	12765620
25	14455379	180503
26	14454824	15253123
27	14440819	27665653
28	14422918	1741522
29	14410589	25962798
30	14436454	5718461
31	14445147	7652571
32	14375626	13310132
33	14454316	19109001
34	14377109	16685112
35	14453663	32109705
36	14429274	26725858
37	14447294	8137931
38	14404139	4800680
39	14421232	5681793
40	14424414	9896555
41	14432775	2199636
42	14411702	20213784
43	14456423	29054051
44	14443294	2949198
45	14445280	23349664
46	14355849	4105640
47	14387404	14203599
48	14441340	15441337
49	14393783	6382821
50	14415367	22082649
51	14453990	10112573
52	14441169	26861661
53	14462445	26439123
54	14454690	31628040
55	14407821	31601019
56	14417239	22716257
57	14392559	6173478
58	14426554	21885690
59	14415631	11030342
60	14449305	8372006
61	14399468	33280215
62	14442359	31268008
63	14417821	5297709
64	14427427	21996540
65	14459717	8873590
66	14457031	6459069
67	14430842	2631514
68	14437353	31507981
69	14416281	6627915
70	14437831	6046348
71	14382545	2396611
72	14434082	25415671
73	14446580	30429882
74	14453708	22874691
75	14439050	31378675
76	14406342	3452333
77	14478230	19717714
78	14454382	26703623
79	14431711	14254076
80	14435014	17641000
81	14448667	23096040
82	14414447	22448392
83	14436121	27403271
84	14410934	4743923
85	14431065	23981438
86	14452629	32206447
87	14407485	31979744
88	14420748	5411019
89	14430003	29037513
90	14435764	17352991
91	14440795	1475967
92	14405242	26368831
93	14436495	18272606
94	14441563	6720074
95	14452126	33443426
96	14439083	31313242
97	14387133	26514228
98	14437695	9059320
99	14427072	1018961
100	14448728	2469792
101	14459086	18004420
102	14417852	24182066
103	14387348	31278235
104	14414179	29100411
105	14432251	12912056
106	14388609	10112843
107	14412527	10572540
108	14396596	19999196
109	14431785	23493885
110	14453700	7364185
111	14458364	22928270
112	14403936	26697296
113	14416980	27266503
114	14441229	22069623
115	14402054	7824798
116	14445162	4870962
117	14445270	21223144
118	14406709	14382205
119	14423223	32041469
120	14385021	26681508
121	14444616	10889324
122	14445231	13884564
123	14439205	26634884
124	14386007	7058445
125	14398187	5654032
126	14445719	31425078
127	14421845	28094077
128	14415081	23311357
129	14447991	15387990
130	14441826	29652434
131	14437471	14899810
132	14468905	11016424
133	14444940	17116061
134	14420696	9491548
135	14430218	7058649
136	14438476	19648921
137	14421088	13853186
138	14449385	8196351
139	14466758	23716005
140	14416290	11679590
141	14444400	32507184
142	14430187	23669033
