Percolation threshold data
Total number of sites: 4194304

Run	Num	Key Site
---	---	--------
0	1812419	1068097
1	1799099	684026
2	1793115	3154047
3	1799231	3604394
4	1806103	1635214
5	1808159	4177270
6	1799919	2049736
7	1797082	168140
8	1810536	765415
9	1811092	1243184
10	1815261	518527
11	1810358	924139
12	1791617	2322135
13	1799950	2246767
14	1798922	2874360
15	1797792	1505110
16	1799639	253174
17	1805804	3722882
18	1806005	944031
19	1798824	2663045
20	1805118	3916833
21	1802768	2854341
22	1806791	3592165
23	1799772	3137125
24	1812447	2402407
25	1810742	2681097
26	1807300	3003740
27	1807444	1814545
28	1801495	2698520
29	1802699	3605469
30	1799617	2481982
31	1812093	2247006
32	1797082	975914
33	1806853	3099883
34	1801342	1243194
35	1812170	1419240
36	1799664	3704331
37	1806575	3971996
38	1800106	19739
39	1812571	136644
40	1803032	559365
41	1794310	2365623
42	1809158	3681207
43	1808526	1019160
44	1798581	1122195
45	1801779	1256109
46	1800526	667428
47	1797851	2426626
48	1798472	1151428
49	1804066	2716419
50	1809232	1000627
51	1804309	990042
52	1804756	1613977
53	1802793	3264306
54	1821801	1905944
55	1798605	2727968
56	1809376	804444
57	1804663	2107449
58	1793385	2414499
59	1810268	3946069
60	1800557	2068075
61	1807937	1608417
62	1806160	2414182
63	1808521	1764922
64	1806823	3445915
65	1801445	3803406
66	1796482	1408620
67	1793828	3500759
68	1806408	988140
69	1793917	3254545
70	1803701	2245655
71	1808383	1605931
72	1802305	3546902
73	1808071	2305310
74	1811319	2830794
75	1793088	1241652
76	1803506	2209871
77	1795955	1870094
78	1795071	934557
79	1805035	1716351
80	1795586	1044938
81	1805855	2280880
82	1805911	1190052
83	1805823	2069221
84	1796332	4171069
85	1803680	3382989
86	1799246	2514470
87	1808542	541981
88	1801172	1470293
89	1796225	2060904
90	1813044	2032229
91	1809293	1821621
92	1805145	2942765
93	1809669	3018152
94	1810679	3621717
95	1807718	3099991
96	1814663	1454173
97	1806526	2981780
98	1808806	828306
99	1804178	3919889
100	1805501	1152795
101	1802800	499124
102	1799994	2954776
103	1802680	797997
104	1805391	38428
105	1813228	2867034
106	1805716	3343527
107	1808428	510301
108	1809683	3327898
109	1816872	1866725
110	1799157	2491071
111	1806757	2078149
112	1809099	3538404
113	1805823	3250334
114	1801587	15146
115	1800160	548134
116	1810450	2816405
117	1799199	2777774
118	1806575	3503171
119	1804605	2485209
120	1804213	1366154
121	1802735	115083
122	1808076	497813
123	1809267	4148580
124	1801048	3016865
125	1806373	2485901
126	1804698	2426331
127	1809947	3550669
128	1804396	61184
129	1809074	30696
130	1809482	2654989
131	1805841	3946724
132	1800710	597423
133	1800539	3967220
134	1792863	2937342
135	1803992	1937094
136	1806316	2278631
137	1802195	290545
138	1804158	1273575
139	1801413	2166609
140	1801348	4172139
141	1804329	3988596
142	1809354	4010929
143	1806469	1522839
144	1804620	127324
145	1802169	734881
146	1803262	3813152
147	1809545	3436881
148	1799306	34932
149	1803626	3043050
150	1804714	2434796
151	1805546	1385371
152	1799538	870808
153	1804366	2450148
154	1804448	1896224
155	1800781	2630536
156	1806574	3632459
157	1809608	885505
158	1793578	2415105
159	1806812	4078481
160	1800231	1412670
161	1809634	3990452
162	1804556	732346
163	1801997	3564373
164	1794438	894126
165	1806293	1371225
166	1794799	519062
167	1800435	4107187
168	1811243	3032733
169	1804297	1266513
170	1798655	518030
171	1807997	2209010
172	1807758	465628
173	1806531	2471212
174	1798772	106136
175	1808469	2664889
176	1809925	539634
177	1816178	918619
178	1802984	4055841
179	1810095	1276403
180	1806869	72902
181	1800509	710850
182	1806300	1893466
183	1811914	1062093
184	1806327	1641617
185	1806069	2494476
186	1805076	2838510
187	1807549	3442760
188	1803265	1301297
189	1782213	2455927
190	1810772	2122585
191	1803731	1351640
192	1805614	2364586
193	1803991	2476300
194	1792647	2963441
195	1803451	3967661
196	1806931	4066376
197	1805600	4173698
198	1801681	3255197
199	1799809	3528698
200	1795646	3222966
