Percolation threshold data
Total number of sites: 4194304

Run	Num	Key Site
---	---	--------
0	1807334	1334737
1	1807715	336062
2	1799937	4013300
3	1806511	2081287
4	1804850	506392
5	1803948	2835796
6	1802662	3631656
7	1804571	1693295
8	1799326	1137408
9	1809749	659820
10	1798874	2483961
11	1806974	1432567
12	1802841	3527784
13	1806493	2608926
14	1804039	3449361
15	1800491	1222137
16	1808993	778357
17	1795567	915867
18	1809578	3823569
19	1807085	3362492
20	1810152	1969593
21	1802324	2927751
22	1803004	1622436
23	1798352	518959
24	1811509	4003783
25	1809195	2232484
26	1804624	2256892
27	1803407	1678576
28	1800728	173496
29	1809492	3908592
30	1803548	896314
31	1810187	3400217
32	1789656	3489212
33	1802005	4144359
34	1802931	1757383
35	1802688	1139313
36	1802765	1320871
37	1802989	782397
38	1802398	3403784
39	1803059	3031312
40	1800195	437466
41	1808302	2503578
42	1806041	1045223
43	1810319	2803989
44	1808841	2368048
45	1802306	3640557
46	1800197	1329836
47	1811365	847370
48	1807100	1377489
49	1803949	1308701
50	1804857	3358212
51	1798650	3108790
52	1809471	2221479
53	1809809	313108
54	1812443	3175555
55	1808014	889026
56	1801469	3325222
57	1797206	2966557
58	1800883	301720
59	1817939	3489812
60	1801042	1668461
61	1803152	3922921
62	1799448	737722
63	1806062	1023528
64	1807777	2116450
65	1804167	2806805
66	1805342	3873983
67	1809064	3703378
68	1808082	2358224
69	1803293	719612
70	1802767	190698
71	1800381	3438432
72	1795702	2486624
73	1807760	775575
74	1806002	415891
75	1801360	3372927
76	1804841	1131701
77	1804015	2081860
78	1806946	2964429
79	1806714	3866899
80	1805930	599648
81	1813177	1420067
82	1807336	1854156
83	1810336	1266509
84	1812105	3654934
85	1808670	4164134
86	1812982	4041905
87	1806925	2527097
88	1808483	1353350
89	1804827	4163395
90	1790549	1986502
91	1793735	3881258
92	1806665	1249342
93	1806437	3824645
94	1797294	645111
95	1806391	1236194
96	1806488	150551
97	1804228	1837923
98	1804326	1057873
99	1810709	1340522
100	1800883	2657017
101	1804936	1962028
102	1802821	2855960
103	1797575	2278366
104	1803240	3111669
105	1798858	1233019
106	1806429	1474031
107	1808774	198011
108	1811354	1752614
109	1801834	3321905
110	1805332	1839177
111	1805543	88439
112	1810167	64203
113	1810165	3909648
114	1800868	2776834
115	1803310	854304
116	1811548	3622219
117	1804552	2495558
118	1802986	1056292
119	1800371	3973965
120	1803158	313612
121	1801086	3734785
122	1804865	78344
123	1803320	746119
124	1803801	3590164
125	1806725	3653399
126	1795887	2975351
127	1806648	738375
128	1795686	3776563
129	1805534	1850563
130	1810861	4051288
131	1815489	2133527
132	1796515	3182227
133	1810098	1885602
134	1796989	533965
135	1806464	45409
136	1812288	1037696
137	1799890	1924864
138	1812623	374280
139	1806919	1104835
140	1804593	1697675
141	1806623	2795354
142	1808206	462385
143	1807171	2127015
144	1791329	2326116
145	1797060	3417220
146	1807368	1903054
147	1805736	2950570
148	1801266	3541336
149	1813891	2142461
150	1803791	3646785
151	1803287	2638662
152	1802938	377034
153	1796313	1398144
154	1800991	2610124
155	1796933	3158392
156	1805033	2742630
157	1807841	540450
158	1799056	107931
159	1802861	3292805
160	1797536	254278
161	1804729	4067707
162	1807077	2473233
163	1809498	1733585
164	1806789	1352395
165	1808422	421256
166	1806674	127384
167	1797957	3829148
168	1810508	3082967
169	1810870	3513269
170	1794639	1297154
171	1804497	4034227
172	1809725	3203224
173	1803957	1651948
174	1785125	3639707
175	1796757	135762
176	1808167	2878344
177	1804543	2357730
178	1798061	1350341
179	1807837	3870495
180	1799278	1352571
181	1803460	2443157
182	1803089	2385084
183	1807124	394527
184	1805173	4179670
185	1805319	3430867
186	1809855	1290517
187	1814496	1000809
188	1806419	3822777
189	1805627	3645015
190	1805643	425552
191	1805688	4165770
192	1797657	1237191
193	1803568	3018878
194	1793836	665960
195	1805320	2148979
196	1790784	3042715
197	1805008	3274417
198	1805965	3693846
199	1807348	477719
200	1808779	1148681
