Percolation threshold data
Total number of sites: 33554432

Run	Num	Key Site
---	---	--------
0	14387062	22345467
1	14415816	24885424
2	14336116	13340694
3	14426112	7052
4	14432278	25974464
5	14433341	27303754
6	14394725	32415529
7	14436106	33419872
8	14444337	31815658
9	14443235	19702512
10	14471946	7310757
11	14448620	1155016
12	14428993	23222883
13	14423041	26246827
14	14415415	32078733
15	14450467	5672846
16	14427864	9017810
17	14402188	1598047
18	14445155	30725666
19	14378367	31848155
20	14450538	8267361
21	14425356	11492053
22	14379460	17934962
23	14393163	8648711
24	14458681	24520576
25	14409941	14562696
26	14423278	3924653
27	14451452	19182767
28	14440865	10203771
29	14439571	25519245
30	14427060	18377730
31	14443723	18266567
32	14440350	12810631
33	14445398	8433401
34	14446590	20191089
35	14426213	4116694
36	14423373	2974589
37	14428239	5758339
38	14401740	2614016
39	14412291	15797775
40	14412867	18898067
41	14402054	26422525
42	14461589	26234324
43	14398794	15367630
44	14409690	12760302
45	14420171	30630334
46	14379424	7757245
47	14447845	8249882
48	14448970	31164655
49	14401659	698374
50	14409693	28292757
51	14396020	26048979
52	14450512	30500649
53	14398540	27813820
54	14432063	17064611
55	14407569	31481408
56	14438697	33466035
57	14426268	29374241
58	14414672	10883140
59	14456627	2701824
60	14423983	14635536
61	14410198	12667817
62	14414511	19738817
63	14416526	3227560
64	14427900	1357174
65	14429437	11359074
66	14442536	4241264
67	14405296	25650251
68	14440282	890799
69	14453673	7022044
70	14452913	24576106
71	14421347	4367502
72	14417520	20357094
73	14454077	2605496
74	14425311	11296962
75	14415825	20417270
76	14417325	10801573
77	14421275	17139131
78	14423991	1507087
79	14445608	14933159
80	14439100	12705140
81	14452910	8353408
82	14451002	21859479
83	14442347	25406832
84	14464583	28470968
85	14441593	6195900
86	14418649	3710250
87	14435215	11067381
88	14444467	17218231
89	14427780	13424012
90	14432202	28924988
91	14437953	16531428
92	14405614	19534854
93	14439898	1422367
94	14418671	20370555
95	14433185	29446286
96	14449551	13313772
97	14438033	32972053
98	14389890	20399699
99	14428327	23963391
100	14429163	12547272
101	14442703	31033228
102	14412418	12945107
103	14445438	31230337
104	14447189	1533083
105	14449678	11596959
106	14412564	9159888
107	14463391	1203052
108	14399572	1001886
109	14412574	18408471
110	14447885	7609342
111	14372823	4606155
112	14432668	5561824
113	14373446	12263566
114	14420175	28081796
115	14420611	29224447
116	14424222	12519720
117	14374684	13074485
118	14445559	12685350
119	14336090	14419784
120	14411566	31946231
121	14436106	30888981
122	14411308	29714272
123	14416990	9782527
124	14423982	3994014
125	14421632	31376893
126	14397849	1995435
127	14441184	23618245
128	14439426	22243001
129	14421356	12251358
130	14410999	30193989
131	14404647	29329896
132	14465295	25398859
133	14436948	21925822
134	14391608	21587801
135	14417136	12402147
136	14456284	26898038
137	14379970	24948106
138	14432556	10789640
139	14447797	28694016
140	14445611	16179641
141	14434380	4757812
142	14411992	23138647
