Percolation threshold data
Total number of sites: 8192

Run	Num	Key Site
---	---	--------
0	2175	1746
1	2867	3582
2	2468	3492
3	2450	4054
4	2191	7744
5	2280	4541
6	2759	5928
7	2421	1620
8	2219	4589
9	2440	2567
10	1586	8108
11	2509	7140
12	2148	4994
13	2297	3820
14	879	6360
15	1968	5176
16	2221	3495
17	2579	6039
18	2509	323
19	2134	5723
20	2122	1402
21	1673	954
22	2522	4022
23	2589	7402
24	2119	2323
25	2510	5682
26	2715	2322
27	1625	4398
28	2546	7667
29	1971	4815
30	2640	1502
31	2371	6212
32	2533	100
33	2320	6021
34	2262	2188
35	2174	190
36	2564	8149
37	2354	216
38	2049	3674
39	2438	1307
40	2644	7466
41	2517	1112
42	1846	7048
43	2759	3424
44	2692	4338
45	1798	1003
46	2168	7044
47	2107	3679
48	2149	2019
49	2874	5430
50	2340	8100
51	2636	7470
52	2442	5626
53	2449	2846
54	2409	6383
55	1761	8082
56	1988	6500
57	2912	6292
58	2253	6593
59	2475	324
60	2434	5827
61	2501	7186
62	2007	4706
63	2458	6527
64	1664	42
65	1986	6706
66	2469	5431
67	1776	2564
68	2536	2003
69	2355	302
70	2066	267
71	2012	1340
72	2746	1310
73	1369	6534
74	1103	7885
75	2930	3040
76	1487	6999
77	2375	5978
78	1795	5409
79	2201	6
80	2603	80
81	1386	5084
82	2502	6951
83	2385	3680
84	1861	4776
85	2527	178
86	2146	5460
87	2077	4545
88	1774	5213
89	2458	5914
90	1995	2137
91	1637	6908
92	2007	4534
93	2829	5766
94	2003	2332
95	1770	4460
96	1969	7558
97	1899	568
98	1272	6472
99	2505	2018
100	2621	3675
101	1738	7588
102	2557	8025
103	2435	4226
104	1377	1088
105	2005	289
106	2336	252
107	2172	7875
108	1852	1672
109	2058	6426
110	2488	5328
111	2552	7616
112	1701	3546
113	1930	1046
114	2818	2716
115	2045	1880
116	2261	5613
117	1863	2252
118	2529	5840
119	1718	2598
120	2438	5004
121	1838	2228
122	1768	5804
123	2419	2794
124	2004	3342
125	1683	3564
126	1984	4462
127	2033	4864
128	2169	1450
129	2134	2898
130	2520	736
131	2027	7180
132	1887	3031
133	2406	2078
134	2886	1754
135	2660	149
136	1612	908
137	2277	276
138	2710	8002
139	2626	7968
140	2205	4838
141	2705	8052
142	2070	3314
143	2130	3088
144	2601	7161
145	2529	6090
146	1865	4602
147	2449	1414
148	2144	7902
149	2294	6563
150	2457	5050
151	1965	582
152	2721	7559
153	2272	4520
154	1227	1084
155	3040	4000
156	1239	7463
157	1652	8020
158	1958	2212
159	2024	3084
160	2334	6408
161	2392	1068
162	2207	6166
163	2603	980
164	2114	8070
165	2005	7826
166	2097	3378
167	2375	2936
168	1383	5181
169	2870	3140
170	2215	1436
171	1843	4435
172	2190	6780
173	2133	6664
174	1952	392
175	2971	4536
176	2780	2612
177	1968	3102
178	2861	5396
179	2114	3955
180	2038	4128
181	1968	3313
182	2633	2175
183	1791	5278
184	2197	8155
185	1844	7138
186	1965	560
187	2060	2316
188	1155	4056
189	2634	7477
190	707	2209
191	2531	7636
192	1445	392
193	1900	2916
194	2149	5630
195	1881	2737
196	2906	3901
197	2327	4638
198	2002	411
199	1194	3496
200	1592	1303
201	2355	6033
202	1997	1914
203	2373	802
204	2578	1700
205	1915	442
206	2108	3139
207	2477	6728
208	1926	6298
209	1303	2089
210	1349	4954
211	2134	252
212	2184	1215
213	1612	6423
214	2797	3908
215	1967	3386
216	1690	6041
217	2343	2977
218	2060	794
219	1780	8076
220	2460	4436
221	1508	5833
222	2349	4126
