Percolation threshold data
Total number of sites: 33554432

Run	Num	Key Site
---	---	--------
0	14439744	14490140
1	14398988	25835960
2	14447802	21701275
3	14423200	15977498
4	14401243	1259034
5	14439113	23175651
6	14421585	6747486
7	14439477	29898039
8	14460922	14949649
9	14428267	16584200
10	14456505	30249506
11	14439847	22886619
12	14451869	4153344
13	14421831	1202393
14	14445327	21028599
15	14409767	5641617
16	14419749	8076473
17	14431578	5102657
18	14401799	13763910
19	14405595	8638745
20	14434193	27622401
21	14411117	19908572
22	14421956	22085476
23	14424334	18089160
24	14437150	29447780
25	14429305	15575832
26	14440016	8419250
27	14415231	14700064
28	14388678	12166744
29	14422848	19117143
30	14392536	19070249
31	14435422	25796536
32	14433815	26955109
33	14420147	31555852
34	14434639	29748954
35	14438693	1918470
36	14399965	24867817
37	14464980	7149266
38	14447571	5833578
39	14429591	30345713
40	14427267	22285743
41	14427208	22984974
42	14444558	5823775
43	14456127	18102878
44	14454976	20720457
45	14420240	19019652
46	14438439	8340688
47	14430349	10161001
48	14409357	2079547
49	14437938	14043639
50	14454138	30645186
51	14447944	1130339
52	14429889	3592075
53	14418809	3761507
54	14444647	6046358
55	14432493	1067194
56	14461479	32814360
57	14440665	25594201
58	14463446	21023460
59	14474173	9617639
60	14461808	6198629
61	14437509	355168
62	14422929	5757126
63	14434107	21898648
64	14421542	30511257
65	14419558	22911477
66	14433515	9610063
67	14415390	18127704
68	14427568	19925925
69	14428571	29409800
70	14430946	18983750
71	14448224	23680494
72	14436711	29529703
73	14380532	4787088
74	14403559	11265053
75	14432133	26607092
76	14451172	5101883
77	14439100	2623817
78	14439002	16522678
79	14411479	7144014
80	14412491	17660134
81	14453360	3031771
82	14407269	8268590
83	14436513	23145855
84	14449820	3958337
85	14431752	28343355
86	14455701	16704446
87	14389954	8239175
88	14442265	15237540
89	14450938	1084105
90	14403268	12327042
91	14453584	32398666
92	14421066	23821954
93	14402123	13685999
94	14433746	25802781
95	14411900	31723743
96	14406815	28084179
97	14423998	27351667
98	14447119	17941184
99	14411204	12047158
100	14473663	13572245
101	14465289	27207826
102	14437646	21782465
103	14425979	3815088
104	14418776	30774244
105	14442501	13219862
106	14442758	10729746
107	14447893	11488835
108	14445505	15445723
109	14437416	28534263
110	14436757	6732887
111	14447076	27635798
112	14425956	21942066
113	14397395	28766443
114	14379270	23593613
115	14445134	29230861
116	14411121	15009071
117	14432424	20200637
118	14455578	22894538
119	14434031	6197295
120	14435669	30032191
121	14436813	8909637
122	14397371	10188485
123	14442837	14138669
124	14450052	23372674
125	14436070	5905842
126	14428228	18737278
127	14441205	12859632
128	14445243	2807606
129	14455356	28539501
130	14451365	22512835
131	14439062	7027467
132	14443267	27483709
133	14444414	7832754
134	14430509	6446541
135	14405707	18827537
136	14411152	19226146
137	14425704	8044817
138	14415233	25661291
139	14409760	8630190
140	14419159	15224682
141	14424685	24515040
142	14430066	15879170
